domain_file_path,instance_file_path,domain,instance,status,plan,error,is_longer_plan
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-0.pddl,blocksworld,instance-0.pddl,ok,"unstack a from c;
put down a;
pick up b;
stack b on c;
pick up a;
stack a on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-1.pddl,blocksworld,instance-1.pddl,ok,"unstack c from b;
put down c;
pick up b;
stack b on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-2.pddl,blocksworld,instance-2.pddl,ok,"unstack a from b;
put down a;
pick up c;
stack c on b;
pick up a;
stack a on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-3.pddl,blocksworld,instance-3.pddl,ok,"unstack a from b;
put down a;
pick up b;
stack b on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-4.pddl,blocksworld,instance-4.pddl,ok,"unstack a from c;
put down a;
unstack c from b;
put down c;
pick up b;
stack b on a;
pick up c;
stack c on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-5.pddl,blocksworld,instance-5.pddl,ok,"unstack c from a;
put down c;
unstack a from b;
stack a on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-6.pddl,blocksworld,instance-6.pddl,ok,"unstack a from c;
stack a on b;
pick up c;
stack c on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-7.pddl,blocksworld,instance-7.pddl,ok,"unstack b from a;
put down b;
pick up c;
stack c on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-8.pddl,blocksworld,instance-8.pddl,ok,"unstack c from a;
put down c;
unstack a from b;
put down a;
pick up b;
stack b on c;
pick up a;
stack a on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-9.pddl,blocksworld,instance-9.pddl,ok,"unstack a from b;
put down a;
pick up c;
stack c on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-10.pddl,blocksworld,instance-10.pddl,ok,"pick up c;
stack c on b;
pick up a;
stack a on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-11.pddl,blocksworld,instance-11.pddl,ok,"unstack c from a;
put down c;
unstack a from b;
put down a;
pick up b;
stack b on a;
pick up c;
stack c on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-12.pddl,blocksworld,instance-12.pddl,ok,"unstack c from a;
put down c;
pick up b;
stack b on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-13.pddl,blocksworld,instance-13.pddl,ok,"unstack c from b;
stack c on a;
pick up b;
stack b on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-14.pddl,blocksworld,instance-14.pddl,ok,"unstack b from c;
put down b;
unstack c from a;
put down c;
pick up a;
stack a on c;
pick up b;
stack b on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-15.pddl,blocksworld,instance-15.pddl,ok,"unstack a from c;
put down a;
pick up c;
stack c on b;
pick up a;
stack a on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-16.pddl,blocksworld,instance-16.pddl,ok,"unstack b from c;
put down b;
unstack c from a;
put down c;
pick up a;
stack a on b;
pick up c;
stack c on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-17.pddl,blocksworld,instance-17.pddl,ok,"unstack b from c;
put down b;
pick up a;
stack a on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-18.pddl,blocksworld,instance-18.pddl,ok,"unstack b from a;
put down b;
pick up a;
stack a on c;
pick up b;
stack b on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-19.pddl,blocksworld,instance-19.pddl,ok,"unstack a from c;
put down a;
unstack c from b;
stack c on a;
pick up b;
stack b on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-20.pddl,blocksworld,instance-20.pddl,ok,"unstack c from b;
put down c;
pick up a;
stack a on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-21.pddl,blocksworld,instance-21.pddl,ok,"unstack b from c;
put down b;
unstack c from a;
put down c;
pick up b;
stack b on a;
pick up c;
stack c on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-22.pddl,blocksworld,instance-22.pddl,ok,"unstack c from a;
put down c;
unstack a from b;
put down a;
pick up c;
stack c on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-23.pddl,blocksworld,instance-23.pddl,ok,"unstack a from c;
put down a;
unstack c from b;
put down c;
pick up b;
stack b on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-24.pddl,blocksworld,instance-24.pddl,ok,"unstack b from a;
put down b;
pick up a;
stack a on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-25.pddl,blocksworld,instance-25.pddl,ok,"unstack a from b;
stack a on c;
pick up b;
stack b on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-26.pddl,blocksworld,instance-26.pddl,ok,"unstack b from a;
put down b;
pick up c;
stack c on a;
pick up b;
stack b on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-27.pddl,blocksworld,instance-27.pddl,ok,"unstack b from c;
put down b;
unstack c from a;
put down c;
pick up b;
stack b on c;
pick up a;
stack a on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-28.pddl,blocksworld,instance-28.pddl,ok,"unstack a from b;
put down a;
unstack b from c;
stack b on a;
pick up c;
stack c on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-29.pddl,blocksworld,instance-29.pddl,ok,"pick up a;
stack a on c;
pick up b;
stack b on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-30.pddl,blocksworld,instance-30.pddl,ok,"unstack c from a;
put down c;
unstack a from b;
put down a;
pick up b;
stack b on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-31.pddl,blocksworld,instance-31.pddl,ok,"unstack a from b;
put down a;
pick up b;
stack b on a;
pick up c;
stack c on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-32.pddl,blocksworld,instance-32.pddl,ok,"unstack c from b;
put down c;
pick up b;
stack b on a;
pick up c;
stack c on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-33.pddl,blocksworld,instance-33.pddl,ok,"unstack a from c;
put down a;
unstack c from b;
put down c;
pick up a;
stack a on c;
pick up b;
stack b on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-34.pddl,blocksworld,instance-34.pddl,ok,"unstack a from c;
put down a;
pick up c;
stack c on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-35.pddl,blocksworld,instance-35.pddl,ok,"unstack a from b;
put down a;
unstack b from c;
put down b;
pick up a;
stack a on c;
pick up b;
stack b on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-36.pddl,blocksworld,instance-36.pddl,ok,"unstack c from b;
put down c;
unstack b from a;
put down b;
pick up c;
stack c on a;
pick up b;
stack b on c;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-37.pddl,blocksworld,instance-37.pddl,ok,"unstack a from b;
put down a;
unstack b from c;
put down b;
pick up c;
stack c on b;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-38.pddl,blocksworld,instance-38.pddl,ok,"unstack b from c;
put down b;
unstack c from a;
put down c;
pick up b;
stack b on a;
",,False
data/raw/blocksworld/generated_domain.pddl,data/raw/blocksworld/generated_basic/instance-39.pddl,blocksworld,instance-39.pddl,ok,"unstack a from c;
put down a;
pick up b;
stack b on c;
",,False
